timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779999089904,447,Stress config 3 request,200,OK,Stress config 3: 15 users 1-1,text,true,,231,158,1,1,http://localhost:8079/?token=496193058&user=-1360753733&config=3,439,0,34
1779999091262,364,Stress config 3 request,200,OK,Stress config 3: 15 users 1-1,text,true,,231,158,1,1,http://localhost:8079/?token=496193058&user=-1360753733&config=3,364,0,0
1779999092762,340,Stress config 3 request,200,OK,Stress config 3: 15 users 1-1,text,true,,231,158,1,1,http://localhost:8079/?token=496193058&user=-1360753733&config=3,339,0,0
1779999093708,399,Stress config 3 request,200,OK,Stress config 3: 15 users 1-2,text,true,,231,158,2,2,http://localhost:8079/?token=496193058&user=-1360753733&config=3,398,0,2
1779999094261,343,Stress config 3 request,200,OK,Stress config 3: 15 users 1-1,text,true,,231,158,2,2,http://localhost:8079/?token=496193058&user=-1360753733&config=3,343,0,0
1779999095208,341,Stress config 3 request,200,OK,Stress config 3: 15 users 1-2,text,true,,231,158,2,2,http://localhost:8079/?token=496193058&user=-1360753733&config=3,341,0,0
1779999095763,339,Stress config 3 request,200,OK,Stress config 3: 15 users 1-1,text,true,,231,158,2,2,http://localhost:8079/?token=496193058&user=-1360753733&config=3,339,0,0
1779999096708,340,Stress config 3 request,200,OK,Stress config 3: 15 users 1-2,text,true,,231,158,2,2,http://localhost:8079/?token=496193058&user=-1360753733&config=3,340,0,0
1779999097262,353,Stress config 3 request,200,OK,Stress config 3: 15 users 1-1,text,true,,231,158,2,2,http://localhost:8079/?token=496193058&user=-1360753733&config=3,353,0,0
1779999097705,389,Stress config 3 request,200,OK,Stress config 3: 15 users 1-3,text,true,,231,158,3,3,http://localhost:8079/?token=496193058&user=-1360753733&config=3,389,0,5
1779999098207,325,Stress config 3 request,200,OK,Stress config 3: 15 users 1-2,text,true,,231,158,3,3,http://localhost:8079/?token=496193058&user=-1360753733&config=3,325,0,0
1779999098760,335,Stress config 3 request,200,OK,Stress config 3: 15 users 1-1,text,true,,231,158,3,3,http://localhost:8079/?token=496193058&user=-1360753733&config=3,335,0,0
1779999099206,323,Stress config 3 request,200,OK,Stress config 3: 15 users 1-3,text,true,,231,158,3,3,http://localhost:8079/?token=496193058&user=-1360753733&config=3,323,0,0
1779999099707,323,Stress config 3 request,200,OK,Stress config 3: 15 users 1-2,text,true,,231,158,3,3,http://localhost:8079/?token=496193058&user=-1360753733&config=3,323,0,0
1779999100261,359,Stress config 3 request,200,OK,Stress config 3: 15 users 1-1,text,true,,231,158,3,3,http://localhost:8079/?token=496193058&user=-1360753733&config=3,359,0,0
1779999100706,320,Stress config 3 request,200,OK,Stress config 3: 15 users 1-3,text,true,,231,158,3,3,http://localhost:8079/?token=496193058&user=-1360753733&config=3,319,0,0
1779999101208,320,Stress config 3 request,200,OK,Stress config 3: 15 users 1-2,text,true,,231,158,3,3,http://localhost:8079/?token=496193058&user=-1360753733&config=3,319,0,0
1779999101762,370,Stress config 3 request,200,OK,Stress config 3: 15 users 1-1,text,true,,231,158,4,4,http://localhost:8079/?token=496193058&user=-1360753733&config=3,369,0,0
1779999101706,430,Stress config 3 request,200,OK,Stress config 3: 15 users 1-4,text,true,,231,158,4,4,http://localhost:8079/?token=496193058&user=-1360753733&config=3,430,0,2
1779999102206,392,Stress config 3 request,200,OK,Stress config 3: 15 users 1-3,text,true,,231,158,4,4,http://localhost:8079/?token=496193058&user=-1360753733&config=3,392,0,0
1779999102707,378,Stress config 3 request,200,OK,Stress config 3: 15 users 1-2,text,true,,231,158,4,4,http://localhost:8079/?token=496193058&user=-1360753733&config=3,378,0,0
1779999103206,332,Stress config 3 request,200,OK,Stress config 3: 15 users 1-4,text,true,,231,158,4,4,http://localhost:8079/?token=496193058&user=-1360753733&config=3,332,0,0
1779999103261,367,Stress config 3 request,200,OK,Stress config 3: 15 users 1-1,text,true,,231,158,4,4,http://localhost:8079/?token=496193058&user=-1360753733&config=3,367,0,0
1779999103705,360,Stress config 3 request,200,OK,Stress config 3: 15 users 1-3,text,true,,231,158,4,4,http://localhost:8079/?token=496193058&user=-1360753733&config=3,360,0,0
1779999104208,325,Stress config 3 request,200,OK,Stress config 3: 15 users 1-2,text,true,,231,158,4,4,http://localhost:8079/?token=496193058&user=-1360753733&config=3,324,0,0
1779999104705,342,Stress config 3 request,200,OK,Stress config 3: 15 users 1-4,text,true,,231,158,4,4,http://localhost:8079/?token=496193058&user=-1360753733&config=3,342,0,0
1779999104761,381,Stress config 3 request,200,OK,Stress config 3: 15 users 1-1,text,true,,231,158,4,4,http://localhost:8079/?token=496193058&user=-1360753733&config=3,381,0,0
1779999105205,374,Stress config 3 request,200,OK,Stress config 3: 15 users 1-3,text,true,,231,158,4,4,http://localhost:8079/?token=496193058&user=-1360753733&config=3,374,0,0
