timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779999832521,1076,Stress config 3 request,200,OK,Stress config 3: 27 users 1-1,text,true,,231,158,1,1,http://localhost:8079/?token=496193058&user=-1360753733&config=3,1067,0,28
1779999833884,620,Stress config 3 request,200,OK,Stress config 3: 27 users 1-1,text,true,,231,158,1,1,http://localhost:8079/?token=496193058&user=-1360753733&config=3,620,0,0
1779999834543,520,Stress config 3 request,200,OK,Stress config 3: 27 users 1-2,text,true,,231,158,2,2,http://localhost:8079/?token=496193058&user=-1360753733&config=3,520,0,3
1779999835384,365,Stress config 3 request,200,OK,Stress config 3: 27 users 1-1,text,true,,231,158,2,2,http://localhost:8079/?token=496193058&user=-1360753733&config=3,364,0,0
1779999836044,783,Stress config 3 request,200,OK,Stress config 3: 27 users 1-2,text,true,,231,158,3,3,http://localhost:8079/?token=496193058&user=-1360753733&config=3,783,0,0
1779999836766,526,Stress config 3 request,200,OK,Stress config 3: 27 users 1-3,text,true,,231,158,3,3,http://localhost:8079/?token=496193058&user=-1360753733&config=3,526,0,2
1779999836882,504,Stress config 3 request,200,OK,Stress config 3: 27 users 1-1,text,true,,231,158,3,3,http://localhost:8079/?token=496193058&user=-1360753733&config=3,504,0,0
1779999837543,342,Stress config 3 request,200,OK,Stress config 3: 27 users 1-2,text,true,,231,158,3,3,http://localhost:8079/?token=496193058&user=-1360753733&config=3,342,0,0
1779999838265,353,Stress config 3 request,200,OK,Stress config 3: 27 users 1-3,text,true,,231,158,3,3,http://localhost:8079/?token=496193058&user=-1360753733&config=3,353,0,0
1779999838384,344,Stress config 3 request,200,OK,Stress config 3: 27 users 1-1,text,true,,231,158,3,3,http://localhost:8079/?token=496193058&user=-1360753733&config=3,344,0,0
1779999839044,626,Stress config 3 request,200,OK,Stress config 3: 27 users 1-2,text,true,,231,158,4,4,http://localhost:8079/?token=496193058&user=-1360753733&config=3,626,0,0
1779999838988,837,Stress config 3 request,200,OK,Stress config 3: 27 users 1-4,text,true,,231,158,4,4,http://localhost:8079/?token=496193058&user=-1360753733&config=3,837,0,5
1779999839764,466,Stress config 3 request,200,OK,Stress config 3: 27 users 1-3,text,true,,231,158,4,4,http://localhost:8079/?token=496193058&user=-1360753733&config=3,465,0,0
1779999839884,499,Stress config 3 request,200,OK,Stress config 3: 27 users 1-1,text,true,,231,158,4,4,http://localhost:8079/?token=496193058&user=-1360753733&config=3,499,0,0
1779999840488,365,Stress config 3 request,200,OK,Stress config 3: 27 users 1-4,text,true,,231,158,4,4,http://localhost:8079/?token=496193058&user=-1360753733&config=3,365,0,0
